locality,property_type,area_sqft,bedrooms,bathrooms,balconies,age_years,floor,total_floors,parking,furnishing,facing,gym,swimming_pool,security,power_backup,lift,price
Nizampet,Apartment,1805,3,2,2,0,11,12,1,Fully Furnished,East,1,1,1,1,1,10800000
Bachupally,Apartment,1560,3,2,2,0,5,15,1,Fully Furnished,North-East,1,1,1,1,1,8580000
Dundigal,Apartment,1070,2,1,2,0,3,10,1,Semi-Furnished,West,0,0,1,1,1,5564000
Pocharam,Apartment,1210,2,1,2,0,3,7,1,Semi-Furnished,North,0,0,1,1,1,6048000
Kollur,Apartment,1900,3,2,2,0,4,20,1,Fully Furnished,South,1,1,1,1,1,11300000
Kukatpally,Apartment,1480,3,2,2,0,3,7,1,Fully Furnished,North-East,1,1,1,1,1,12400000
Jeedimetla,Apartment,1675,3,2,2,0,2,5,1,Fully Furnished,West,1,1,1,1,1,10100000
Uppal Kalan,Apartment,1705,3,2,2,0,14,15,1,Fully Furnished,West,1,1,1,1,1,10700000
Rajendra Nagar,Apartment,1811,3,2,2,0,5,10,1,Fully Furnished,East,1,1,1,1,1,10800000
Yapral,Apartment,1735,3,2,2,4,10,15,1,Fully Furnished,East,1,1,1,1,1,10400000
Kompally,Apartment,1485,2,1,2,4,9,12,1,Semi-Furnished,West,1,0,1,1,1,6681999
Patighanpur,Villa,4591,4,3,2,0,0,1,2,Fully Furnished,West,1,1,1,1,0,68800000
Tellapur,Apartment,1845,3,2,2,0,10,15,1,Fully Furnished,South,1,1,1,1,1,13400000
Tellapur,Apartment,1495,2,1,2,0,4,5,1,Fully Furnished,West,1,1,1,1,1,9417000
Madeenaguda,Apartment,1285,2,1,2,0,3,12,1,Fully Furnished,North,1,1,1,1,1,8223999
Shamshabad,Apartment,3500,4,3,2,0,4,12,1,Fully Furnished,West,1,1,1,1,1,22700000
Puppalaguda,Apartment,3715,4,3,2,0,3,12,1,Fully Furnished,South,1,1,1,1,1,40400000
Mallampet,Apartment,1625,3,2,2,0,7,20,1,Fully Furnished,North-East,1,1,1,1,1,8125000
Tellapur,Apartment,1643,3,2,2,0,7,10,1,Fully Furnished,North,1,1,1,1,1,10600000
Meerpet,Apartment,1711,3,2,2,0,1,5,1,Fully Furnished,South,1,1,1,1,1,10200000
Pocharam,Apartment,1942,3,2,2,0,18,24,1,Fully Furnished,East,1,1,1,1,1,10000000
Mallapur,Apartment,1107,2,1,2,0,10,12,1,Semi-Furnished,North,0,0,1,1,1,5533000
Tukkuguda,Apartment,1722,3,2,2,0,4,7,1,Fully Furnished,West,1,1,1,1,1,8265000
Kondapur,Apartment,1915,3,2,2,0,7,10,1,Fully Furnished,West,1,1,1,1,1,16600000
Chandanagar,Apartment,1325,2,1,2,0,8,15,1,Fully Furnished,South,1,1,1,1,1,8612000
Nizampet,Apartment,955,2,1,2,0,2,5,1,Semi-Furnished,North-East,0,0,1,1,1,5252000
Bachupally,Apartment,1168,2,1,2,0,2,12,1,Semi-Furnished,East,1,0,1,1,1,6423999
Dundigal,Apartment,1116,3,2,2,0,2,15,1,Semi-Furnished,North,0,0,1,1,1,5803000
Pocharam,Apartment,1210,2,1,2,0,6,12,1,Semi-Furnished,North,0,0,1,1,1,6048000
Kollur,Apartment,2425,3,2,2,0,6,12,1,Fully Furnished,East,1,1,1,1,1,14500000
Kukatpally,Apartment,1250,2,1,2,0,2,5,1,Fully Furnished,East,1,1,1,1,1,10400000
